bom_id,bom_name,company,stored_qty,stored_uom,computed_qty,diff,line_count,skipped_lines,status,notes
3,2nd component of WAJ Original Jerk Marinade: WAJ Jerk Seasoning Mix v.1,What a Jerk,10.0,kg,10.0001,0.0001,9,0,ok,
4,Final mix of dry and wet: WAJ Jerk Marinade v.1,What a Jerk,10.0,kg,10.0,0.0,2,0,ok,
5,"Final jerk chicken product for smoking: Jerk Chicken, FINAL",What a Jerk,10.0,kg,10.0,0.0,2,0,ok,
6,Festival Dough v.2,What a Jerk,10.0,kg,10.0,0.0,7,0,ok,
7,WAJ Curry Powder,What a Jerk,10.001,kg,10.001,0.0,11,0,ok,
8,WAJ All Purpose Seasoning,What a Jerk,10.0,kg,10.0001,0.0001,10,0,ok,
13,For escovitch fish and also for salad dressing: Escovitch Pickling Base v.1.1,What a Jerk,10.0,kg,9.9999,-0.0001,12,0,ok,
14,Brown Stew Chicken- Stage 1/3 Marinate Base,What a Jerk,10.0,kg,10.0,-0.0,5,0,ok,
16,Green seasoning v.1.3,What a Jerk,10.0,kg,10.0,-0.0,13,0,ok,
18,Oxtail Dry Spice Premix 1/3,What a Jerk,10.0,kg,10.0,0.0,8,0,ok,
19,Oxtail Stew Final 3/3,What a Jerk,10.0,kg,10.0,0.0,11,0,ok,
20,Oxtail Wet Premix 2/3,What a Jerk,10.6604,kg,10.6604,0.0,12,0,ok,
21,Jerk Mayo Sauce v1.0 TEST,What a Jerk,10.0,kg,10.0,0.0,3,0,ok,
23,Reggae Mango Sauce v2.0 TEST,What a Jerk,10.0,kg,10.0,-0.0,14,0,ok,
24,This is the hottest WAJ hot sauce: WAJ No Mercy Hot Sauce,What a Jerk,10.0004,kg,10.0004,0.0,22,0,ok,
25,Jamaican Curry Dish- Dry Mix 1/4,What a Jerk,11.2867,kg,11.2867,0.0,6,0,ok,
26,Jamaican Curry Dish- Protein Marinade Base 2/4,What a Jerk,10.8542,kg,10.8542,0.0,13,0,ok,
27,Jamaican Curry Dish- Beef Marinade 3.1/4,What a Jerk,10.0,kg,10.0,0.0,2,0,ok,
28,Jamaican Curry Dish- Chicken Marinade 3.2/4,What a Jerk,10.0,kg,10.0,0.0,2,0,ok,
29,Jamaican Curry Dish- Beef Final 4.1/4,What a Jerk,9.9999,kg,9.9999,0.0,8,0,ok,
30,Browning Sauce,What a Jerk,10.0,kg,10.0,0.0,2,0,ok,
31,Jamaican Curry Dish- Chicken Final 4.2/4,What a Jerk,9.9999,kg,9.9999,0.0,8,0,ok,
33,"Rice & Peas, on site mix 3/3",What a Jerk,1.0,kg,,,0,0,no_lines,
34,Deep Fry Flour Mix v3.0 TO TEST,What a Jerk,10.0,kg,10.0,0.0,17,0,ok,
36,Brown Stew Chicken- Stage 2/3 Fresh Ingredient Prep,What a Jerk,10.0,kg,10.0,-0.0,8,0,ok,
37,Brown Stew Chicken- Stage 3/3 Final Assembly,What a Jerk,10.0,kg,10.0,-0.0,10,0,ok,
82,Escovitch Pickling Base v.1.1 (new) 1: Escovitch Pickling Base v2,What a Jerk,9.9998,kg,9.9998,0.0,11,0,ok,
84,Beef Patty FINAL,What a Jerk,10.0,kg,10.0,0.0,2,0,ok,
87,Jerk Rice and Peas (Signature),What a Jerk,10.0,kg,10.0,0.0,6,0,ok,
89,Jerk Rice & Peas - Dry Spice Bag (265g),What a Jerk,10.0,kg,10.0001,0.0001,5,0,ok,
90,Jerk Rice & Peas - Frozen Flavor Bomb,What a Jerk,10.0,kg,10.0,-0.0,4,0,ok,
91,Jamaican Jerk Finishing Sauce (10kg Batch),What a Jerk,9.9999,kg,9.9999,0.0,20,0,ok,
92,Jamaican Beef Patty Filling ,What a Jerk,12.409,kg,12.409,0.0,19,0,ok,
93,KFC Soy Sauce 15Kg,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,14,14,all_skipped,"[400105] SEMPIO Sojasauce, Jin S 15l// Soy Sauce Big Bottle Jin 15 L: 15l Canister not convertible to Units; Donkatsu Sauce: kg not convertible to Units; [Chungjugone Corn Syrup 5kg] Chungjugone Maissirup 5kg: kg not convertible to Units"
94,Bibimbap Spicy Sauce 15kg,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,8,8,all_skipped,Chili Paste (Gochujang): kg not convertible to Units; [Chungjugone Corn Syrup 5kg] Chungjugone Maissirup 5kg: kg not convertible to Units; [6013501] Chili gemahlen: kg not convertible to Units
95,Bibimbap Soy Sauce,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.9333,-0.0667,7,6,mismatch,"Kikkoman Soy Sauce 20L: kg not convertible to Units; Garlic, fresh: kg not convertible to Units; MSG: kg not convertible to Units"
96,Teriyaki Sauce,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,9,9,all_skipped,Kikkoman Soy Sauce 20L: L not convertible to Units; Mirin: L not convertible to Units; [Chungjugone Corn Syrup 5kg] Chungjugone Maissirup 5kg: kg not convertible to Units
97,SsamJang 15Kg,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,14,14,all_skipped,"Soybean Paste (Doenjang): kg not convertible to Units; Mayonnaise 10kg Eimer: kg not convertible to Units; Garlic, fresh: kg not convertible to Units"
98,Ponzu 13kg,"Ssam Korean BBQ, Inh. Ruo Xu",4.0,Units,4.0,0.0,5,4,ok,"Kikkoman Soy Sauce 20L: kg not convertible to Units; Vinegar, white 5% 5l: L not convertible to Units; Sugar, white 1kg: kg not convertible to Units"
99,Wasabi Radish Pickles,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,7,7,all_skipped,"Radish, fresh: kg not convertible to Units; Water, tap: kg not convertible to Units; Sugar, white 1kg: kg not convertible to Units"
100,Raddish Kimchi 2kg // Rettich Kimchi 2kg,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,6,6,all_skipped,"Radish, fresh: kg not convertible to Units; Salt, fine: kg not convertible to Units; [6013501] Chili gemahlen: kg not convertible to Units"
101,Kimchi 15kg,"Ssam Korean BBQ, Inh. Ruo Xu",200.0,Units,200.0,0.0,15,14,ok,"Onions,  yellow, fresh: kg not convertible to Units; Radish, fresh: kg not convertible to Units; Apple, fresh: kg not convertible to Units"
102,Lemonade Concentrate 13kg,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,4,4,all_skipped,"Honey Yuzu: kg not convertible to Units; Cranberry Juice: L not convertible to Units; Orange Juice, fresh: L not convertible to Units"
104,KFC Brining Powder,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,5,5,all_skipped,"Black peppercorn, whole: kg not convertible to Units; White Pepper, ground: kg not convertible to Units; Ginger powder: kg not convertible to Units"
105,Soy Meat Brining,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,4,4,all_skipped,"Soy Meat: kg not convertible to Units; Water, tap: kg not convertible to Units; Kikkoman Soy Sauce 20L: kg not convertible to Units"
106,Sour Chili Sauce (ChoJang),"Ssam Korean BBQ, Inh. Ruo Xu",5.0,Units,5.0,0.0,7,6,ok,"Chili Paste (Gochujang): kg not convertible to Units; Vinegar, white 5% 5l: L not convertible to Units; Sugar, white 1kg: kg not convertible to Units"
107,BBQ Curry Marinade 15kg,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0133,-0.9867,11,10,mismatch,"Rapeseed Oil: L not convertible to Units; Olivenöl Sansa 12x1 Ltr.: L not convertible to Units; Salt, fine: kg not convertible to Units"
108,Vegan Kimchi Sauce,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,14,14,all_skipped,"Onions,  yellow, fresh: kg not convertible to Units; Apple, fresh: kg not convertible to Units; Pear, fresh: kg not convertible to Units"
109,Soy Braised Spicy Potato,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,4,4,all_skipped,"Potato / Kartoffeln Festkochend 25kg: kg not convertible to Units; Spicy Potato Sauce: kg not convertible to Units; Water, tap: kg not convertible to Units"
110,Topping Sauce: SOY,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,4,4,all_skipped,"KFC Soy Sauce 15Kg: kg not convertible to Units; Garlic, fresh: kg not convertible to Units; [413065] Sesame Oil: L not convertible to Units"
111,Topping Sauce: SPICY,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,4,4,all_skipped,Red Sauce 10kg: kg not convertible to Units; [Chungjugone Corn Syrup 5kg] Chungjugone Maissirup 5kg: kg not convertible to Units; [413065] Sesame Oil: L not convertible to Units
112,Jap Chae Sauce,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,7,7,all_skipped,Kikkoman Soy Sauce 20L: kg not convertible to Units; Mirin: L not convertible to Units; [Chungjugone Corn Syrup 5kg] Chungjugone Maissirup 5kg: kg not convertible to Units
113,Miso Paste 5kg,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,6,6,all_skipped,"Soybean Paste (Doenjang): kg not convertible to Units; Mushroom Powder: kg not convertible to Units; Chili Powder, Coarse: kg not convertible to Units"
114,KFC Wasabi Soy Mayo,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,7,7,all_skipped,Mayonnaise 10kg Eimer: kg not convertible to Units; Kikkoman Soy Sauce 20L: kg not convertible to Units; [Chungjugone Corn Syrup 5kg] Chungjugone Maissirup 5kg: kg not convertible to Units
115,Homemade Soy Sauce 15kg,"Ssam Korean BBQ, Inh. Ruo Xu",5.0,Units,5.0,0.0,15,14,ok,"Kikkoman Soy Sauce 20L: kg not convertible to Units; Pear, fresh: kg not convertible to Units; Apple, fresh: kg not convertible to Units"
116,KFC Spicy Sauce 15Kg,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,9,9,all_skipped,"Chili Powder, Coarse: kg not convertible to Units; [6013501] Chili gemahlen: kg not convertible to Units; Chili Flakes with Seed: kg not convertible to Units"
117,Red Sauce 10kg,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,16,16,all_skipped,"Apple, fresh: kg not convertible to Units; Pear, fresh: kg not convertible to Units; Onions,  yellow, fresh: kg not convertible to Units"
118,Bulgogi Sauce 15kg,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,2.1333,1.1333,9,8,mismatch,"Apple, fresh: kg not convertible to Units; Pear, fresh: kg not convertible to Units; Onions,  yellow, fresh: kg not convertible to Units"
119,Galbi Sauce 15kg,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,13,13,all_skipped,"Apple, fresh: kg not convertible to Units; Pear, fresh: kg not convertible to Units; Ginger, fresh: kg not convertible to Units"
120,Soy Pickling Sauce,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,7,7,all_skipped,"Kikkoman Soy Sauce 20L: kg not convertible to Units; Vinegar, white 5% 5l: L not convertible to Units; Sugar, white 1kg: kg not convertible to Units"
121,Soy Braised Potato Sauce,"Ssam Korean BBQ, Inh. Ruo Xu",1.0,Units,0.0,-1.0,7,7,all_skipped,"Kikkoman Soy Sauce 20L: kg not convertible to Units; Sugar, white 1kg: kg not convertible to Units; [Chungjugone Corn Syrup 5kg] Chungjugone Maissirup 5kg: kg not convertible to Units"
122,KFC Soy Sauce 15Kg,Krawings,1.0,Units,0.0,-1.0,14,14,all_skipped,Kikkoman Soy Sauce 20L: kg not convertible to Units; Donkatsu Sauce: kg not convertible to Units; [Chungjugone Corn Syrup 5kg] Chungjugone Maissirup 5kg: kg not convertible to Units
123,Bibimbap Spicy Sauce 15kg,Krawings,1.0,Units,0.0,-1.0,8,8,all_skipped,Chili Paste (Gochujang): kg not convertible to Units; [Chungjugone Corn Syrup 5kg] Chungjugone Maissirup 5kg: kg not convertible to Units; [6013501] Chili gemahlen: kg not convertible to Units
124,Bibimbap Soy Sauce,Krawings,1.0,Units,0.9333,-0.0667,7,6,mismatch,"Kikkoman Soy Sauce 20L: kg not convertible to Units; Garlic, fresh: kg not convertible to Units; MSG: kg not convertible to Units"
125,Teriyaki Sauce,Krawings,1.0,Units,0.0,-1.0,9,9,all_skipped,Kikkoman Soy Sauce 20L: L not convertible to Units; Mirin: L not convertible to Units; [Chungjugone Corn Syrup 5kg] Chungjugone Maissirup 5kg: kg not convertible to Units
126,SsamJang 15Kg,Krawings,1.0,Units,0.0,-1.0,14,14,all_skipped,"Soybean Paste (Doenjang): kg not convertible to Units; Mayonnaise 10kg Eimer: kg not convertible to Units; Garlic, fresh: kg not convertible to Units"
127,Ponzu 13kg,Krawings,4.0,Units,4.0,0.0,5,4,ok,"Kikkoman Soy Sauce 20L: kg not convertible to Units; Vinegar, white 5% 5l: L not convertible to Units; Sugar, white 1kg: kg not convertible to Units"
